n01440764,tench
n01443537,goldfish
n01484850,great white shark
n01491361,tiger shark
n01494475,hammerhead
n01496331,electric ray
n01498041,stingray
n01514668,cock
n01514859,hen
n01518878,ostrich
n01530575,brambling
n01531178,goldfinch
n01532829,house finch
n01534433,junco
n01537544,indigo bunting
n01558993,robin
n01560419,bulbul
n01580077,jay
n01582220,magpie
n01592084,chickadee
n01601694,water ouzel
n01608432,kite
n01614925,bald eagle
n01616318,vulture
n01622779,great grey owl
n01629819,European fire salamander
n01630670,common newt
n01631663,eft
n01632458,spotted salamander
n01632777,axolotl
n01641577,bullfrog
n01644373,tree frog
n01644900,tailed frog
n01664065,loggerhead
n01665541,leatherback turtle
n01667114,mud turtle
n01667778,terrapin
n01669191,box turtle
n01675722,banded gecko
n01677366,common iguana
n01682714,American chameleon
n01685808,whiptail
n01687978,agama
n01688243,frilled lizard
n01689811,alligator lizard
n01692333,Gila monster
n01693334,green lizard
n01694178,African chameleon
n01695060,Komodo dragon
n01697457,African crocodile
n01698640,American alligator
n01704323,triceratops
n01728572,thunder snake
n01728920,ringneck snake
n01729322,hognose snake
n01729977,green snake
n01734418,king snake
n01735189,garter snake
n01737021,water snake
n01739381,vine snake
n01740131,night snake
n01742172,boa constrictor
n01744401,rock python
n01748264,Indian cobra
n01749939,green mamba
n01751748,sea snake
n01753488,horned viper
n01755581,diamondback
n01756291,sidewinder
n01768244,trilobite
n01770081,harvestman
n01770393,scorpion
n01773157,black and gold garden spider
n01773549,barn spider
n01773797,garden spider
n01774384,black widow
n01774750,tarantula
n01775062,wolf spider
n01776313,tick
n01784675,centipede
n01795545,black grouse
n01796340,ptarmigan
n01797886,ruffed grouse
n01798484,prairie chicken
n01806143,peacock
n01806567,quail
n01807496,partridge
n01817953,African grey
n01818515,macaw
n01819313,sulphur-crested cockatoo
n01820546,lorikeet
n01824575,coucal
n01828970,bee eater
n01829413,hornbill
n01833805,hummingbird
n01843065,jacamar
n01843383,toucan
n01847000,drake
n01855032,red-breasted merganser
n01855672,goose
n01860187,black swan
n01871265,tusker
n01872401,echidna
n01873310,platypus
n01877812,wallaby
n01882714,koala
n01883070,wombat
n01910747,jellyfish
n01914609,sea anemone
n01917289,brain coral
n01924916,flatworm
n01930112,nematode
n01943899,conch
n01944390,snail
n01945685,slug
n01950731,sea slug
n01955084,chiton
n01968897,chambered nautilus
n01978287,Dungeness crab
n01978455,rock crab
n01980166,fiddler crab
n01981276,king crab
n01983481,American lobster
n01984695,spiny lobster
n01985128,crayfish
n01986214,hermit crab
n01990800,isopod
n02002556,white stork
n02002724,black stork
n02006656,spoonbill
n02007558,flamingo
n02009229,little blue heron
n02009912,American egret
n02011460,bittern
n02012849,crane
n02013706,limpkin
n02017213,European gallinule
n02018207,American coot
n02018795,bustard
n02025239,ruddy turnstone
n02027492,red-backed sandpiper
n02028035,redshank
n02033041,dowitcher
n02037110,oystercatcher
n02051845,pelican
n02056570,king penguin
n02058221,albatross
n02066245,grey whale
n02071294,killer whale
n02074367,dugong
n02077923,sea lion
n02085620,Chihuahua
n02085782,Japanese spaniel
n02085936,Maltese dog
n02086079,Pekinese
n02086240,Shih-Tzu
n02086646,Blenheim spaniel
n02086910,papillon
n02087046,toy terrier
n02087394,Rhodesian ridgeback
n02088094,Afghan hound
n02088238,basset
n02088364,beagle
n02088466,bloodhound
n02088632,bluetick
n02089078,black-and-tan coonhound
n02089867,Walker hound
n02089973,English foxhound
n02090379,redbone
n02090622,borzoi
n02090721,Irish wolfhound
n02091032,Italian greyhound
n02091134,whippet
n02091244,Ibizan hound
n02091467,Norwegian elkhound
n02091635,otterhound
n02091831,Saluki
n02092002,Scottish deerhound
n02092339,Weimaraner
n02093256,Staffordshire bullterrier
n02093428,American Staffordshire terrier
n02093647,Bedlington terrier
n02093754,Border terrier
n02093859,Kerry blue terrier
n02093991,Irish terrier
n02094114,Norfolk terrier
n02094258,Norwich terrier
n02094433,Yorkshire terrier
n02095314,wire-haired fox terrier
n02095570,Lakeland terrier
n02095889,Sealyham terrier
n02096051,Airedale
n02096177,cairn
n02096294,Australian terrier
n02096437,Dandie Dinmont
n02096585,Boston bull
n02097047,miniature schnauzer
n02097130,giant schnauzer
n02097209,standard schnauzer
n02097298,Scotch terrier
n02097474,Tibetan terrier
n02097658,silky terrier
n02098105,soft-coated wheaten terrier
n02098286,West Highland white terrier
n02098413,Lhasa
n02099267,flat-coated retriever
n02099429,curly-coated retriever
n02099601,golden retriever
n02099712,Labrador retriever
n02099849,Chesapeake Bay retriever
n02100236,German short-haired pointer
n02100583,vizsla
n02100735,English setter
n02100877,Irish setter
n02101006,Gordon setter
n02101388,Brittany spaniel
n02101556,clumber
n02102040,English springer
n02102177,Welsh springer spaniel
n02102318,cocker spaniel
n02102480,Sussex spaniel
n02102973,Irish water spaniel
n02104029,kuvasz
n02104365,schipperke
n02105056,groenendael
n02105162,malinois
n02105251,briard
n02105412,kelpie
n02105505,komondor
n02105641,Old English sheepdog
n02105855,Shetland sheepdog
n02106030,collie
n02106166,Border collie
n02106382,Bouvier des Flandres
n02106550,Rottweiler
n02106662,German shepherd
n02107142,Doberman
n02107312,miniature pinscher
n02107574,Greater Swiss Mountain dog
n02107683,Bernese mountain dog
n02107908,Appenzeller
n02108000,EntleBucher
n02108089,boxer
